index,post_id_x,reply_id_x,actual,male_votes,post_id_y,reply_id_y,prediction
41,7892378751459500032,16252800000000000000,RHETORICAL QUESTION,2,7892378751459499909,16252794309021202709,RHETORICAL QUESTION
138,6136925553124996096,18189700000000000000,RHETORICAL QUESTION,2,6136925553124996071,18189737867917875212,RHETORICAL QUESTION
139,1796321055434843904,14810100000000000000,CONTEXT SHIFT,2,1796321055434844193,14810077150833138951,OXYMORON
154,13772995230818629632,474398000000000000,FALSE ASSERTION,2,13772995230818626978,474397791409998420,FALSE ASSERTION
2,7155693771356047360,18161900000000000000,OTHER,3,7155693771356046855,18161905213580884688,OTHER
101,14571755448335099904,8064450000000000000,ANALOGY,2,14571755448335103235,8064446870187057078,RHETORICAL QUESTION
36,9117711307358630912,7916660000000000000,ANALOGY,1,9117711307358630712,7916655201224424892,ANALOGY
3,5929177359346716672,5855670000000000000,FALSE ASSERTION,2,5929177359346716605,5855671312721211658,CONTEXT SHIFT
108,12840277770070130688,17885300000000000000,OTHER,1,12840277770070131661,17885304786512091702,RHETORICAL QUESTION
90,2432806416627402752,11492500000000000000,ANALOGY,1,2432806416627403091,11492500343714452849,OXYMORON
115,14672930942777870336,4389960000000000000,OTHER,2,14672930942777869739,4389956713331137748,OTHER
150,359007761229179712,7539490000000000000,HYPERBOLE,2,359007761229179682,7539488691515933556,CONTEXT SHIFT
85,15169059911459409920,10309200000000000000,OTHER,2,15169059911459408271,10309176085348017995,CONTEXT SHIFT
17,1679217763483685120,5478910000000000000,FALSE ASSERTION,2,1679217763483684543,5478906752054136546,CONTEXT SHIFT
52,13530102438651389952,4840720000000000000,OTHER,2,13530102438651393123,4840715148050485352,OTHER
70,13001943395368790016,10475000000000000000,FALSE ASSERTION,2,13001943395368794277,10474993252439046566,ANALOGY
142,8372852051422961664,17839100000000000000,ANALOGY,2,8372852051422961806,17839050751443036096,ANALOGY
143,12327589089127030784,12311300000000000000,EUPHEMISM,1,12327589089127030384,12311323613480610166,RHETORICAL QUESTION
9,12841824500967149568,13599000000000000000,ANALOGY,1,12841824500967152638,13599020026271593789,FALSE ASSERTION
38,10274209232461860864,1533160000000000000,CONTEXT SHIFT,2,10274209232461856236,1533160137394887569,FALSE ASSERTION
172,856473992583352192,9561800000000000000,OTHER,2,856473992583352234,9561801190578066439,ANALOGY
188,4570732536120891904,279302000000000000,FALSE ASSERTION,2,4570732536120892495,279302136799953530,CONTEXT SHIFT
129,5977190667122479104,9931290000000000000,EUPHEMISM,2,5977190667122478859,9931289976776163029,FALSE ASSERTION
43,11558390939674519552,12676400000000000000,HYPERBOLE,3,11558390939674521663,12676378721740979604,FALSE ASSERTION
167,14740895360806709248,690708000000000000,RHETORICAL QUESTION,2,14740895360806711009,690708159982087795,CONTEXT SHIFT
123,17948825530378829824,4603970000000000000,CONTEXT SHIFT,1,17948825530378828840,4603973994291651916,CONTEXT SHIFT
104,12099038560420169728,16675900000000000000,CONTEXT SHIFT,1,12099038560420169473,16675858157400040650,EUPHEMISM
155,17571549064257740800,8316700000000000000,HYPERBOLE,3,17571549064257738386,8316696099347894782,OTHER
112,527554389017052224,13774800000000000000,OTHER,2,527554389017052205,13774786005298998319,OXYMORON
168,4744139215692694528,14418000000000000000,FALSE ASSERTION,3,4744139215692694803,14418025248063088205,ANALOGY
27,1004779540710112000,10540900000000000000,OTHER,2,1004779540710112239,10540907626678455839,CONTEXT SHIFT
131,16822415573863280640,13445000000000000000,HYPERBOLE,1,16822415573863280985,13445025746676793122,ANALOGY
25,10543569204621709312,6478110000000000000,RHETORICAL QUESTION,3,10543569204621710499,6478106222062563980,OXYMORON
184,4219267705690278912,8173530000000000000,CONTEXT SHIFT,1,4219267705690279623,8173525950570444551,CONTEXT SHIFT
174,11684652511432220672,8495650000000000000,FALSE ASSERTION,3,11684652511432219048,8495645490393788777,OTHER
200,3045493691802176000,1458020000000000000,EUPHEMISM,2,3045493691802176106,1458015100847778173,ANALOGY
128,6621863004798281728,16813700000000000000,CONTEXT SHIFT,2,6621863004798281614,16813718916983401584,FALSE ASSERTION
198,12440347481004769280,16857000000000000000,EUPHEMISM,1,12440347481004767015,16856958995869695592,FALSE ASSERTION
163,10353713379511670784,7889330000000000000,ANALOGY,1,10353713379511671808,7889327051951419772,EUPHEMISM
119,14849029575208689664,6295240000000000000,HYPERBOLE,2,14849029575208684856,6295243627667993108,OXYMORON
